smile,class
CC(C)(CCCCCC(O)CCCCCC(C)(C)C(=O)O)C(=O)O,1
CCCCCCCCCCCCCCCC(=O)OCC(NC(=O)C(Cl)Cl)C(O)c1ccc([N+](=O)[O-])cc1,0
Cc1cc2c(cc1CC(=O)c1sccc1S(=O)(=O)N=c1o[nH]c(C)c1Cl)OCO2,1
S=c1[nH]cnc2[nH]cnc12,0
C[N+](C)(C)CC(=O)O,0
C=CC1=C(C(=O)O)N2C(=O)C(=NC(=O)C(NOCC(=O)O)c3csc(=N)[nH]3)C2SC1,0
O=S(=O)(O)c1ccc2nc(-c3ccccc3)[nH]c2c1,0
CCC1=CC(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(Cl)C(OC)C3)C(C)C(O)CC1=O)C(C)CC2OC,0
CCCC1(CCc2ccccc2)CC(O)=C(C(CC)c2cccc(NS(=O)(=O)c3ccc(C(F)(F)F)cn3)c2)C(=O)O1,1
OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,0
CCC(C)C1N=C(O)C(CCCNC(=N)N)N=C(O)C(CC(=O)O)N=C(O)C(CC(C)C)N=C(O)C(CCCCN)N=C(O)C(CC(C)C)N=C(O)CN=C(O)C(Cc2ccccc2)N=C(O)C(N=C(O)CN=C(O)C(CCCCN)N=C(O)C(CO)N=C(O)C(CC(C)C)N=C(O)CN=C(O)C(CCCCN)N=C(O)C(CCCCN)N=C(O)C(CC(=N)O)N=C(O)C(C)N=C(O)CN=C(O)C(CCCCN)N=C(O)C(Cc2ccc(O)cc2)N=C(O)C(CCCCN)N=C(O)C(CCCNC(=N)N)N=C(O)C(C)N=C(O)C(CC(=N)O)N=C(O)C2CCCN2C(=O)C(Cc2cnc[nH]2)N=C(O)C(CCC(=O)O)N=C(O)C(CCC(=N)O)N=C(O)CN=C(O)C2CCCN2)CSSCC(C(=O)O)N=C(O)CNC(=O)C(CC(C)C)NC(=O)CNC(=O)C(CO)NC(=O)C(CCSC)NC(=O)C(CO)NC(=O)CNC1=O,1
CC(CS)C(=O)N1CC(Sc2ccccc2)CC1C(=O)O,0
CSc1nc2cc(Cl)c(Oc3cccc(Cl)c3Cl)cc2[nH]1,1
N=c1[nH]c(CC(=O)Nc2ccc(CCNCC(O)c3ccccc3)cc2)cs1,1
CNCCC(Oc1ccccc1C)c1ccccc1,1
Cc1cc(C=CC#N)cc(C)c1N=c1cc[nH]c(=Nc2ccc(C#N)cc2)[nH]1,0
Cc1ccc(C(=CCN2CCCC2)c2ccccn2)cc1,0
NCCCC(O)([P](=O)(=O)O)[P](=O)(=O)O,0
CN(C)CCC(c1ccc(Br)cc1)c1ccccn1,1
COc1cc2[nH]c(N(C)CCCNC(=O)C3CCCO3)nc(=N)c2cc1OC,1
OCC1OC(c2ccc(Cl)c(Cc3ccc(OC4CCOC4)cc3)c2)C(O)C(O)C1O,0
Cc1c(C(=O)NC(C(=O)NC(C)C(O)C(C)C(=O)NC(C(=O)NCCc2nc(-c3nc(C(=O)NCCC[S+](C)C)cs3)cs2)C(C)O)C(OC2OC(CO)C(O)C(O)C2OC2OC(CO)C(O)C(OC(=N)O)C2O)c2c[nH]cn2)[nH]c(C(CC(N)=O)NCC(N)C(N)=O)nc1=N,1
CCC=CCCOC(CC)OC,0
Cc1ccc2c(Cl)cc(Cl)c(O)c2n1,0
C=CCOC(=O)CCCCC,0
CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1,0
CC(O)CC(C)(C)O,0
CCCCCCCCCCCCCCCC(=O)OCC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,0
Cn1cnc2c(F)c(Nc3ccc(Br)cc3F)c(C(=O)NOCCO)cc21,1
CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)C(C(=O)O)C(C)C,1
CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,1
CCCN(CCC)C(=O)SCC,0
CC1(C)CCC2(C)C(=C3CCC4C5(C)CCC(O)C(C)(C)C5CCC4(C)C3(C)CC2O)C1,0
CC(O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,1
N=C(N)N=C(N)N,0
NC(=O)C1CCCN1C(=O)C(Cc1c[nH]cn1)NC(O)c1ccc(O)[nH]1,0
COc1ccc(CN(C(=O)C(N)Cc2c(C)cc(C(N)=O)cc2C)C(C)c2nc(-c3ccccc3)c[nH]2)cc1C(=O)O,0
CC(CCc1ccccc1)NC(C)C(O)c1ccc(O)cc1,1
CC(=O)N1CC(O)CC1C(=O)O,0
CC1(C)SC2C(NC(=O)C(C(=O)Oc3ccc4c(c3)CCC4)c3ccccc3)C(=O)N2C1C(=O)O,0
COS(=O)(=O)OC,0
